Latitude Longitude
-38.9085 177.1647
-45.5696 166.6151
-37.4404 -179.883
-41.364 174.3149
-38.6616 175.7088
-37.2766 179.9799
-41.1539 174.7517
-45.3827 167.0884
-45.6305 166.9279
-45.3401 167.1501
-46.2318 165.9356
-46.1758 165.7393
-43.4862 172.7957
-43.4729 172.8406
-43.5258 172.8002
-43.53 172.7428
-43.4734 172.8345
-43.4577 172.8513
-43.4955 172.7734
-43.5347 172.7805
-43.5329 172.7273
-43.5405 172.8597
-43.5527 172.8255
-43.4947 172.8218
-43.5171 172.8258
-43.6638 172.8397
-43.4815 172.8975
-43.498 172.7704
-43.5094 172.7848
-43.5455 172.7668
-43.4991 172.8309
-43.4914 172.807
-43.5132 172.794
-43.5341 172.8066
-43.4604 172.8
-43.5173 172.7754
-43.4695 172.8519
-43.417 172.8497
-43.4755 172.8813
-43.4461 172.8348
-43.4679 172.8752
-43.5122 172.8137
-43.4791 172.801
-37.5175 -179.8131
-43.5075 172.8247
-43.51 172.8219
-43.5147 172.7908
-43.4901 172.8399
-43.4577 172.905
-43.5376 172.7654
-36.26 177.4714
-43.6404 172.8324
-45.536 166.6147
-40.397 176.6822
-46.8583 165.5922
-47.005 165.5361
-46.885 165.5979
-46.7789 165.4366
-46.7196 165.2146
-46.802 165.7677
-43.603 172.4146
-43.5912 172.4137
-43.4847 172.8421
-43.5935 172.4296
-38.5099 176.1591
-46.9127 165.2495
-43.5812 172.2779
-43.4541 172.8703
-42.0134 172.5793
-43.5256 172.8152
-38.607 176.1694
-39.9793 176.8224
-40.1834 173.5403
-40.3563 173.3951
-38.9376 174.9656
-43.651 172.8518
-43.6445 172.8588
-43.6192 172.794
-37.426 176.5671
-43.4983 172.7855
-40.8386 175.5261
-39.3823 174.1238
-39.9763 175.0347
-39.9447 176.7241
-43.4581 172.7944
-37.2392 176.7457
-43.4543 172.8444
-43.5761 172.3895
-43.4851 172.8386
-40.6811 174.675
-40.2003 176.4028
-35.5277 178.7966
-38.6001 176.4747
-45.0455 166.1968
-44.9475 165.9746
-45.1093 166.4755
-37.7192 177.6322
-43.5937 172.7605
-39.9892 174.6718
-45.1233 167.2678
-46.1301 165.8456
-46.1656 165.7861
-37.4692 178.7849
-40.9308 175.4164
-45.9501 166.5072
-36.5677 177.2239
-36.5628 177.2361
-36.5528 177.1916
-36.5911 177.1679
-43.5777 172.4122
-44.1564 169.7066
-43.5765 172.3644
-45.4742 166.4804
-36.5734 177.2029
-37.9208 179.0621
-38.4796 176.2076
-37.9092 177.7691
-43.4874 172.7882
-41.6362 171.5626
-43.4875 172.8326
-43.4559 172.8632
-42.5009 172.7243
-43.1466 170.7691
-44.4782 168.5683
-45.5278 166.7232
-41.3861 174.6804
-42.9965 170.7962
-42.3191 174.0724
-46.2221 167.2407
-43.5961 172.6116
-43.5 172.7431
-43.5927 172.412
-43.5362 172.8373
-43.4867 172.8007
-43.4794 172.7983
-43.816 171.3732
-43.5518 172.8093
-43.5075 172.7554
-44.2227 169.7383
-43.5286 172.6821
-38.0279 176.3799
-43.4528 172.1226
-43.5327 172.7275
-40.0226 173.7561
-42.223 172.7159
-43.6252 172.3315
-39.068 175.8071
-44.5057 167.7982
-43.6278 172.557
-41.4079 173.7621
-38.5239 176.9731
-38.5724 177.8428
-44.5194 167.9448
-39.7024 175.6745
-41.493 172.4084
-37.5265 -179.8182
-37.7131 -179.9681
-40.4981 176.1444
-46.2124 165.8049
-35.837 -179.72
-37.6135 -179.7331
-37.5842 -179.6
-43.6286 172.5524
-42.4773 175.7038
-35.99 -179.05
-38.116 176.0104
-38.034 -179.5148
-46.3946 165.6965
-37.7641 177.5816
-37.5705 -179.5959
-37.5473 -179.618
-37.3093 178.1667
-43.234 175.1525
-37.4437 179.2224
-46.2338 165.8904
-44.098 168.7218
-38.0689 176.0533
